vin,make,model,year,age,price,mileage,city,state,region,population,lat,lng
1HGCP2F37AA011340,Honda,Accord,2010,10,11195,96276,Tallahassee,FL,South,253030,30.4551,-84.2527
1FADP3F20EL196623,Ford,FocusSedan,2014,6,10000,47111,Muskogee,OK,South,40588,35.743,-95.3566
2C4RDGBG5ER379895,Dodge,Grand,2014,6,12996,72741,Mesa,AZ,West,496401,33.4017,-111.7181
1FT7W2BT1GEA13076,Ford,Super,2016,4,54892,19354,San Antonio,TX,South,2002530,29.4658,-98.5254
5TFRY5F11DX140021,Toyota,Tundra,2013,7,24406,55217,Delray Beach,FL,South,68749,26.455,-80.0905
4T1BF1FK3HU694513,Toyota,CamrySE,2017,3,18987,1235,Miami,FL,South,6381966,25.7839,-80.2102
2GTEK13M081168225,GMC,Sierra,2008,12,24995,107132,Lincoln,NE,Midwest,285118,40.8088,-96.6796
2C4RC1BGXGR252417,Chrysler,Town,2016,4,22000,33603,Lima,OH,Midwest,69798,40.741,-84.1121
3GTU2UEH2EG215108,GMC,Sierra,2014,6,27995,52267,Weatherford,TX,South,42278,32.7535,-97.7724
KNAGM4A71F5527883,Kia,OptimaLX,2015,5,13999,35425,Lake Park,FL,South,8645,26.7998,-80.0685
3GCUKSEC1FG378956,Chevrolet,Silverado,2015,5,37891,23182,Miami,FL,South,6381966,25.7839,-80.2102
5TFLU4EN6CX040947,Toyota,Tacoma4WD,2012,8,30998,51024,Olympia,WA,West,196078,47.0417,-122.8959
19XFB2F9XEE013472,Honda,Civic,2014,6,14485,32801,St. Petersburg,FL,South,263255,27.793,-82.6652
1FMCU9GD9HUC81004,Ford,Escape4WD,2017,3,22500,2795,Hillsboro,OR,West,106894,45.5272,-122.936
2C4RC1BG4GR301806,Chrysler,Town,2016,4,18997,40038,Milwaukie,OR,West,20801,45.4447,-122.6221
1FA6P0H71F5130054,Ford,FusionSE,2015,5,16999,42063,Medford,OR,West,168219,42.3372,-122.8537
1C4HJWEG0HL665760,Jeep,Wrangler,2017,3,39999,2188,Houston,TX,South,5446468,29.7869,-95.3905
5TFDY5F17AX130910,Toyota,Tundra,2010,10,28949,47994,Tacoma,WA,West,213418,47.2431,-122.4531
1C4RJFCG6FC726050,Jeep,Grand,2015,5,33129,43293,Winnsboro,LA,South,5078,32.1651,-91.721
2D4RN4DG1BR663208,Dodge,Grand,2011,9,10966,96489,Glassboro,NJ,Northeast,20011,39.7014,-75.1113
2CTALMECXB6278926,GMC,TerrainFWD,2011,9,10918,92460,Mechanicsville,VA,South,37674,37.6262,-77.3561
3GCPCREC8EG111475,Chevrolet,Silverado,2014,6,26606,73532,Austin,TX,South,1638716,30.3006,-97.7517
1C4HJWDG1FL601872,Jeep,Wrangler,2015,5,30998,39603,Santa Clarita,CA,West,309378,34.4155,-118.4992
1GTEK19Z26Z236628,GMC,Sierra,2006,14,15836,83325,Baxley,GA,South,5578,31.7642,-82.3508
3D7MX38A88G236792,Dodge,Ram,2008,12,34999,65199,Puyallup,WA,West,41001,47.1794,-122.2902
3VWD67AJ9GM294292,Volkswagen,Jetta,2016,4,14495,43814,Indianapolis,IN,Midwest,1564699,39.7771,-86.1458
2GNFLHE38F6231013,Chevrolet,EquinoxAWD,2015,5,25495,22407,Chelsea,MI,Midwest,5615,42.3132,-84.0188
1G1BE5SM6H7178465,Chevrolet,CruzeSedan,2017,3,15745,16070,Stonewall,LA,South,2262,32.2715,-93.81
3TMLU4ENXFM173270,Toyota,Tacoma4WD,2015,5,28099,31663,Longmont,CO,West,99398,40.169,-105.0996
1G1FF1R79G0161285,Chevrolet,CamaroCoupe,2016,4,28424,32066,Miami,FL,South,6381966,25.7839,-80.2102
1HGCR2F80HA189431,Honda,Accord,2017,3,25126,2898,Fairfield,OH,Midwest,42566,39.3301,-84.5405
5J6RM4H77FL105480,Honda,CR-VEX-L,2015,5,24500,33029,San Jose,CA,West,1821899,37.3021,-121.8489
3FA6P0H75GR260627,Ford,FusionSE,2016,4,12488,40955,Fredericksburg,VA,South,164976,38.2992,-77.4872
