make,model,model_year,model_age,drive,barrels08,city_mpg,hwy_mpg,combined_mpg,co2TailpipeGpm,cylinders,engine_displ,drive_type,fuelCost08,fuelType1
BMW,M6 Convertible,2008,10,Rear-Wheel Drive,25.354615385,11,17,13,683.61538462,10,5,Rear-Wheel Drive,3600,Premium Gasoline
Nissan,Altima Coupe,2008,10,Front-Wheel Drive,12.677307692,23,31,26,341.80769231,4,2.5,Front-Wheel Drive,1500,Regular Gasoline
Nissan,Altima Coupe,2008,10,Front-Wheel Drive,12.677307692,23,32,26,341.80769231,4,2.5,Front-Wheel Drive,1500,Regular Gasoline
Nissan,Altima Coupe,2008,10,Front-Wheel Drive,14.982272727,19,26,22,403.95454545,6,3.5,Front-Wheel Drive,2100,Premium Gasoline
Nissan,Altima Coupe,2008,10,Front-Wheel Drive,14.982272727,19,27,22,403.95454545,6,3.5,Front-Wheel Drive,2100,Premium Gasoline
Pontiac,G5/Pursuit,2008,10,Front-Wheel Drive,12.677307692,22,31,26,341.80769231,4,2.2,Front-Wheel Drive,1500,Regular Gasoline
Pontiac,G5/Pursuit,2008,10,Front-Wheel Drive,12.207777778,24,33,27,329.14814815,4,2.2,Front-Wheel Drive,1450,Regular Gasoline
Pontiac,G5/Pursuit,2008,10,Front-Wheel Drive,13.1844,22,31,25,355.48,4,2.4,Front-Wheel Drive,1850,Premium Gasoline
Saab,9-3 Convertible,2008,10,Front-Wheel Drive,14.982272727,18,27,22,403.95454545,4,2,Front-Wheel Drive,2100,Premium Gasoline
Saab,9-3 Convertible,2008,10,Front-Wheel Drive,17.347894737,16,26,19,467.73684211,6,2.8,Front-Wheel Drive,2450,Premium Gasoline
Saab,9-3 Convertible,2008,10,Front-Wheel Drive,18.311666667,15,24,18,493.72222222,6,2.8,Front-Wheel Drive,2600,Premium Gasoline
Toyota,Yaris,2008,10,Front-Wheel Drive,10.632580645,29,35,31,286.67741935,4,1.5,Front-Wheel Drive,1250,Regular Gasoline
Toyota,Yaris,2008,10,Front-Wheel Drive,10.3003125,29,36,32,277.71875,4,1.5,Front-Wheel Drive,1200,Regular Gasoline
Bentley,Continental GT,2008,10,4-Wheel or All-Wheel Drive,25.354615385,10,17,13,683.61538462,12,6,4-Wheel or All-Wheel Drive,3600,Premium Gasoline
BMW,328i,2008,10,Rear-Wheel Drive,15.695714286,18,28,21,423.19047619,6,3,Rear-Wheel Drive,2200,Premium Gasoline
BMW,328i,2008,10,Rear-Wheel Drive,14.982272727,19,28,22,403.95454545,6,3,Rear-Wheel Drive,2100,Premium Gasoline
BMW,328xi,2008,10,4-Wheel or All-Wheel Drive,16.4805,17,25,20,444.35,6,3,4-Wheel or All-Wheel Drive,2350,Premium Gasoline
BMW,328xi,2008,10,4-Wheel or All-Wheel Drive,16.4805,17,25,20,444.35,6,3,4-Wheel or All-Wheel Drive,2350,Premium Gasoline
BMW,335i,2008,10,Rear-Wheel Drive,16.4805,17,26,20,444.35,6,3,Rear-Wheel Drive,2350,Premium Gasoline
BMW,335i,2008,10,Rear-Wheel Drive,16.4805,17,26,20,444.35,6,3,Rear-Wheel Drive,2350,Premium Gasoline
BMW,335xi,2008,10,4-Wheel or All-Wheel Drive,17.347894737,16,25,19,467.73684211,6,3,4-Wheel or All-Wheel Drive,2450,Premium Gasoline
BMW,335xi,2008,10,4-Wheel or All-Wheel Drive,16.4805,17,25,20,444.35,6,3,4-Wheel or All-Wheel Drive,2350,Premium Gasoline
Dodge,Caliber,2008,10,Front-Wheel Drive,12.677307692,24,29,26,341.80769231,4,1.8,Front-Wheel Drive,1500,Regular Gasoline
Dodge,Caliber,2008,10,Front-Wheel Drive,13.73375,23,27,24,370.29166667,4,2,Front-Wheel Drive,1600,Regular Gasoline
Dodge,Caliber,2008,10,Front-Wheel Drive,14.330869565,21,25,23,386.39130435,4,2.4,Front-Wheel Drive,1700,Regular Gasoline
Dodge,Caliber,2008,10,Front-Wheel Drive,13.1844,23,29,25,355.48,4,2.4,Front-Wheel Drive,1550,Regular Gasoline
